GeneID	UMN_1_1	UMN_1_10	UMN_11_1	UMN_11_12	UMN_12_1	UMN_12_12	UMN_2_1	UMN_2_10	UMN_3_1	UMN_3_10	UMN_4_1	UMN_4_10	UMN_5_1	UMN_5_10	UMN_6_1	UMN_6_10	UMN_7_1	UMN_7_10	UMN_8_1	UMN_8_10
ENSG00000000003	5	8	12	19	39	30	73	40	1	5	37	66	6	8	48	26	1	11	29	38
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	705	636	1039	1321	733	1407	975	625	1093	980	677	1111	1496	980	1199	1288	1663	949	1106	740
ENSG00000000457	423	609	227	416	836	416	882	787	168	482	697	1324	208	765	196	148	261	468	897	830
ENSG00000000460	180	191	129	264	206	88	312	219	58	184	201	348	49	209	85	105	29	293	248	225
ENSG00000000938	22752	24174	5243	8389	14676	2402	17229	12480	18916	25361	8749	15881	13125	21681	4733	6953	12449	19755	20101	15922
ENSG00000000971	23	19	45	72	164	19	388	363	39	78	197	349	37	45	75	64	33	349	469	257
ENSG00000001036	1229	1317	605	1008	1144	101	1253	839	1669	1875	684	1255	1159	1246	556	792	514	1397	1400	1123
ENSG00000001084	1012	1205	502	685	937	226	1360	875	1052	1252	1105	1754	1312	1533	680	826	1042	1225	1324	1002
ENSG00000001167	1359	1375	898	1813	1449	543	2060	1353	1434	1758	1691	2328	1728	2020	1028	1287	805	1542	2573	1759
ENSG00000001460	60	75	48	65	105	56	151	114	22	61	79	144	27	88	35	32	36	79	126	101
ENSG00000001461	800	1075	589	1262	1727	1610	2045	1496	281	1178	1551	2228	424	1572	426	484	386	994	2120	1601
ENSG00000001497	1068	1210	1054	1452	1197	927	1743	1155	916	1345	1347	1841	1096	1407	1217	1049	656	1418	1811	1467
ENSG00000001561	633	496	372	520	547	436	874	463	652	902	817	1039	2209	1030	360	309	1475	1437	789	552
ENSG00000001617	4	1	4	1	0	320	7	1	392	22	1	0	433	5	135	231	1583	3	10	1
ENSG00000001626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
